meal_name,disease_type,sugar_level,salt_level,temperature,expiry_days,calories,protein,description
Bok Choy,None,Low,Low,Warm,2,13,1.5,Asian leafy green
Kale Salad,None,Low,Low,Cold,2,49,3.3,Nutrient dense leafy green
Lettuce Mix,None,Low,Low,Cold,3,15,1.2,Fresh salad greens
Arugula Salad,None,Low,Low,Cold,2,25,2.6,Peppery leafy green
Watercress,None,Low,Low,Cold,2,11,2.3,Peppery water vegetable
Endive Salad,None,Low,Low,Cold,3,17,1.2,Chicory family green
Radicchio,None,Low,Low,Cold,7,23,1.2,Purple bitter green
Swiss Chard,None,Low,Low,Warm,3,19,1.8,Colorful leafy green
Collard Greens,None,Low,Low,Warm,3,33,3,Traditional Southern green
Mustard Greens,None,Low,Low,Warm,3,27,3.2,Spicy leafy green
Turnip Greens,None,Low,Low,Warm,3,29,2.2,Root vegetable greens
Beet Greens,None,Low,Low,Warm,2,23,2.2,Beet plant greens
Fennel Salad,None,Low,Low,Cold,4,31,1.2,Anise flavored vegetable
Celery Root,None,Low,Low,Cold,14,42,1.5,Root vegetable option
Rutabaga,Diabetes,Low,Low,Warm,14,36,1.2,Root vegetable alternative
Turnip Root,None,Low,Low,Warm,14,36,1.1,White root vegetable
Radish Salad,None,Low,Low,Cold,7,16,0.7,Peppery root vegetable
Jicama Sticks,None,Low,Low,Cold,7,35,0.7,Crunchy root vegetable
Parsnip Roasted,None,Low,Low,Warm,7,75,1.2,Sweet root vegetable
Beet Root,None,Low,Low,Warm,14,43,1.7,Sweet earthy vegetable
Carrot Juice,None,Low,Low,Cold,7,41,0.9,Liquid vegetable nutrition
Butternut Squash,Diabetes,Low,Low,Warm,14,45,1,Orange winter squash
Acorn Squash,None,Low,Low,Warm,14,40,0.9,Green winter squash
Zucchini Summer,None,Low,Low,Warm,2,19,1.4,Green summer squash
Yellow Squash,None,Low,Low,Warm,2,21,1.4,Light summer squash
Pattypan Squash,None,Low,Low,Warm,3,20,1.3,Unique squash shape
Spaghetti Squash,Diabetes,Low,Low,Warm,7,31,0.8,Pasta alternative squash
Delicata Squash,None,Low,Low,Warm,14,36,0.6,Sweet winter squash
Kabocha Squash,Diabetes,Low,Low,Warm,14,35,0.6,Japanese pumpkin
Tomato Red,None,Medium,Low,Warm,5,18,0.9,Classic red fruit vegetable
Tomato Cherry,None,Low,Low,Cold,4,27,1.3,Small sweet tomatoes
Tomato Beefsteak,None,Low,Low,Warm,5,21,1,Large meaty tomato
Tomato Heirloom,None,Low,Low,Warm,4,19,0.9,Specialty colored tomato
Tomato Green,None,Low,Low,Warm,4,28,1.3,Unripe tomato option
Eggplant Roasted,None,Low,Low,Warm,3,35,0.8,Purple nightshade vegetable
Bell Pepper Red,None,Medium,Low,Cold,7,37,1.2,Sweet red pepper
Bell Pepper Yellow,None,Medium,Low,Cold,7,27,0.9,Sweet yellow pepper
Bell Pepper Orange,None,Medium,Low,Cold,7,30,1,Sweet orange pepper
Bell Pepper Green,None,Low,Low,Cold,7,31,1,Mild green pepper
Poblano Pepper,None,Low,Low,Warm,7,30,1,Mild chili pepper
Jalapeno Pepper,None,Low,Low,Cold,7,29,1,Spicy pepper option
Habanero Pepper,None,Low,Low,Cold,7,40,1.4,Very hot chili pepper
Chili Pepper,None,Low,Low,Warm,7,40,2,Medium spicy pepper
Onion Yellow,None,Low,Low,Cold,30,40,1.1,Standard onion
Onion Red,None,Low,Low,Cold,30,37,1,Sweet red onion
Onion White,None,Low,Low,Cold,30,36,1,Mild white onion
Onion Sweet Vidalia,None,Low,Low,Cold,30,40,1,Very sweet onion
Leek Vegetable,None,Low,Low,Warm,7,54,2.2,Mild onion family
Garlic Clove,None,Low,Low,Cold,180,149,6.4,Pungent aromatic bulb
Shallot,None,Low,Low,Cold,30,72,2.5,Mild garlic onion
Scallion Green,None,Low,Low,Cold,3,32,1.9,Young onion option
Ginger Root,None,Low,Low,Cold,30,80,1.8,Spicy aromatic root
Turmeric Root,None,Low,Low,Cold,30,354,9.7,Golden spice root
Horseradish,None,Low,Low,Cold,30,48,1.2,Pungent root vegetable
Cucumber Standard,None,Low,Low,Cold,7,16,0.7,Regular green cucumber
Cucumber Hothouse,None,Low,Low,Cold,7,15,0.6,Seedless cucumber
Cucumber Kirby,None,Low,Low,Cold,5,14,0.6,Small pickling cucumber
Zucchini Green,None,Low,Low,Warm,2,19,1.4,Dark green squash
Zucchini Yellow,None,Low,Low,Warm,2,21,1.4,Light yellow squash
Avocado Hass,None,Low,Low,Cold,5,160,2,Creamy nutty fruit
Avocado Fuerte,None,Low,Low,Cold,5,160,2,Buttery avocado
Avocado Green,None,Low,Low,Cold,5,160,2,Alternative avocado
Olive Brown,None,Low,Low,Cold,730,115,1,Preserved fruit
Olive Green,None,Low,Low,Cold,730,115,1,Young olive
Capers Small,None,Low,Low,Cold,365,23,2.4,Pickled flower bud
Apple Red Delicious,None,Medium,Low,Cold,30,52,0.3,Sweet red apple
Apple Granny Smith,None,Low,Low,Cold,30,52,0.3,Tart green apple
Apple Golden,None,Medium,Low,Cold,30,57,0.3,Sweet yellow apple
Apple Honeycrisp,None,Medium,Low,Cold,30,54,0.3,Crisp modern apple
Apple Fuji,None,Medium,Low,Cold,30,56,0.3,Sweet Japanese apple
Apple Pink Lady,None,Medium,Low,Cold,30,52,0.3,Crisp pink apple
Apple Jazz,None,Medium,Low,Cold,30,58,0.3,Hybrid apple variety
Pear Bartlett,None,Medium,Low,Cold,7,57,0.4,Sweet juicy pear
Pear Bosc,None,Medium,Low,Cold,7,57,0.4,Brown rustic pear
Pear Anjou,None,Medium,Low,Cold,7,55,0.4,Bumpy green pear
Pear Asian,None,Medium,Low,Cold,7,42,0.4,Crisp round pear
Banana Yellow,Diabetes,High,Low,Cold,5,89,1.1,Ripe banana
Banana Plantain,None,Medium,Low,Warm,7,122,1,Cooking banana
Orange Navel,None,Medium,Low,Cold,14,47,0.9,Seedless orange
Orange Valencia,None,High,Low,Cold,14,47,0.9,Juicy orange variety
Tangerine Mandarin,None,Medium,Low,Cold,7,47,0.7,Small citrus fruit
Grapefruit Pink,None,Medium,Low,Cold,14,42,0.8,Tart pink citrus
Grapefruit White,None,Low,Low,Cold,14,42,0.8,Classic grapefruit
Lemon Fresh,None,Low,Low,Cold,30,29,1.1,Sour citrus
Lime Green,None,Low,Low,Cold,30,30,0.7,Acidic citrus fruit
Lime Key,None,Low,Low,Cold,30,32,0.9,Small citrus
Strawberry Fresh,None,Low,Low,Cold,3,32,0.7,Sweet red berry
Strawberry Organic,None,Low,Low,Cold,2,32,0.7,Pesticide free berry
Blueberry Fresh,None,Low,Low,Cold,5,57,0.7,Blue antioxidant berry
Blueberry Wild,None,Low,Low,Cold,5,57,0.7,Small blue berry
Raspberry Fresh,None,Low,Low,Cold,2,52,1.2,Tart red berry
Raspberry Black,None,Low,Low,Cold,1,52,1.2,Dark berry
Blackberry Fresh,None,Low,Low,Cold,2,43,1.4,Black berry
Gooseberry,None,Low,Low,Cold,4,44,0.8,Tart green berry
Currant Red,None,Low,Low,Cold,3,56,1.4,Tiny red berry
Currant Black,None,Low,Low,Cold,3,63,1.6,Black berry variety
Cranberry Fresh,None,Low,Low,Cold,14,46,0.4,Tart red berry
Cranberry Dried,None,High,Low,Cold,365,308,0.4,Concentrated berry
Mulberry Fresh,None,Low,Low,Cold,2,43,1.4,Purple berry
Elderberry,None,Low,Low,Cold,3,73,0.7,Dark purple berry
Acai Berry,None,Low,Low,Cold,2,70,1.2,Brazilian superfood
Goji Berry,None,Low,Low,Cold,365,98,3.6,Red dried berry
Mango Ripe,None,High,Low,Cold,5,60,0.8,Tropical sweet fruit
Mango Green,None,Low,Low,Cold,5,60,0.8,Unripe mango
Papaya Yellow,None,High,Low,Cold,3,43,0.5,Orange tropical fruit
Papaya Green,None,Low,Low,Cold,3,43,0.5,Unripe papaya
Pineapple Ripe,None,High,Low,Cold,7,50,0.5,Golden tropical fruit
Pineapple Fresh,None,High,Low,Cold,7,50,0.5,Sweet pineapple
Coconut Fresh,None,Low,Low,Cold,180,354,3.3,Tropical nut
Coconut Dried,None,Low,Low,Cold,365,660,7,Shredded coconut
Kiwi Fruit,None,Low,Low,Cold,14,61,1.1,Green tangy fruit
Kiwi Gold,None,Medium,Low,Cold,14,61,1,Yellow kiwi
Melon Cantaloupe,None,High,Low,Cold,7,34,0.8,Orange melon
Melon Honeydew,None,High,Low,Cold,7,36,0.5,Green melon
Melon Watermelon,None,High,Low,Cold,7,30,0.6,Red melon
Kiwano Horned,None,Low,Low,Cold,14,44,0.8,Spiky melon
Passion Fruit,None,High,Low,Cold,7,97,2.2,Exotic tart fruit
Pomegranate,None,Medium,Low,Cold,30,83,1.7,Seeded fruit
Starfruit,None,Low,Low,Cold,7,31,0.6,Star shaped fruit
Dragon Fruit,None,Low,Low,Cold,5,60,1.2,Pink exotic fruit
Lychee Fresh,None,Medium,Low,Cold,5,66,0.8,Asian nodule fruit
Rambutan,None,Medium,Low,Cold,3,82,0.9,Hairy tropical fruit
Durian,None,High,Low,Cold,3,147,1.5,Pungent tropical
Persimmon,None,High,Low,Cold,7,81,0.6,Orange autumn fruit
Date Medjool,None,High,Low,Cold,365,277,1.8,Sweet dried date
Date Deglet,None,High,Low,Cold,365,282,2.5,California date
Prune Dried,None,High,Low,Cold,365,240,2.2,Dried plum
Apricot Dried,None,High,Low,Cold,365,241,3.4,Dried stone fruit
Raisin Black,None,High,Low,Cold,365,299,3,Dried grape
Raisin Golden,None,High,Low,Cold,365,299,3,Golden dried grape
Almond Raw,None,Low,Low,Cold,365,579,21,Tree nut
Almond Roasted,None,Low,Low,Cold,365,579,21,Cooked nut
Walnut Raw,None,Low,Low,Cold,365,654,15,Brain nut
Walnut Black,None,Low,Low,Cold,365,654,15,Strong walnut
Pecan Raw,None,Low,Low,Cold,365,691,9,Southern nut
Pecan Roasted,None,Low,Low,Cold,365,691,9,Cooked pecan
Cashew Raw,None,Low,Low,Cold,365,553,18,Creamy nut
Cashew Roasted,None,Low,Low,Cold,365,553,18,Roasted cashew
Macadamia Nut,None,Low,Low,Cold,365,718,7.9,Buttery nut
Pistachio,None,Low,Low,Cold,365,560,20,Green nut
Brazil Nut,None,Low,Low,Cold,365,656,14,Large nut
Pine Nut,None,Low,Low,Cold,365,688,14,Tree nut
Hazelnut,None,Low,Low,Cold,365,628,15,Filbert nut
Chestnut Roasted,None,Low,Low,Warm,14,245,2.4,Sweet nut
Peanut Roasted,None,Low,Low,Cold,365,567,26,Legume nut
Peanut Butter,None,Low,Low,Cold,365,594,25,Ground peanut
Tahini,None,Low,Low,Cold,365,595,17,Sesame butter
Sunflower Seed,None,Low,Low,Cold,365,584,24,Black seed
Pumpkin Seed,None,Low,Low,Cold,365,446,19,Green seed
Sesame Seed,None,Low,Low,Cold,365,573,18,Tiny seed
Flax Seed,None,Low,Low,Cold,365,534,18,Brown seed
Hemp Seed,None,Low,Low,Cold,365,553,10,Nutritious seed
Chia Seed,Diabetes,Low,Low,Cold,1825,486,17,Super seed
Poppy Seed,None,Low,Low,Cold,365,525,20,Blue seed
Caraway Seed,None,Low,Low,Cold,365,333,20,Spice seed
Fennel Seed,None,Low,Low,Cold,365,345,16,Anise seed
Cumin Seed,None,Low,Low,Cold,365,375,18,Brown seed
Coriander Seed,None,Low,Low,Cold,365,298,12,Spice seed
Mustard Seed,None,Low,Low,Cold,365,508,26,Pungent seed
Fenugreek Seed,None,Low,Low,Cold,365,323,23,Maple seed
Milk Whole,None,Low,Low,Cold,7,60,3.2,Full fat milk
Milk Skim,None,Low,Low,Cold,7,32,3.4,Fat free milk
Milk Two Percent,None,Low,Low,Cold,7,49,3.3,Reduced milk
Milk One Percent,None,Low,Low,Cold,7,42,3.4,Low fat milk
Milk Almond,None,Low,Low,Cold,14,30,1,Plant milk
Milk Soy,None,Low,Low,Cold,14,33,3.3,Bean milk
Milk Coconut,None,Low,Low,Cold,14,45,0.4,Tropical milk
Milk Rice,None,Low,Low,Cold,14,45,0.7,Grain milk
Milk Oat,None,Low,Low,Cold,14,46,2.1,Oat milk
Milk Cashew,None,Low,Low,Cold,14,39,0.8,Nut milk
Milk Hemp,None,Low,Low,Cold,14,40,1.6,Seed milk
Milk Hazelnut,None,Low,Low,Cold,14,35,1,Nut milk
Yogurt Plain,None,Low,Low,Cold,14,59,10,Unflavored yogurt
Yogurt Greek,None,Low,Low,Cold,15,59,10,Strained yogurt
Yogurt Icelandic,None,Low,Low,Cold,15,100,17,Thick yogurt
Kefir Probiotic,None,Low,Low,Cold,14,99,3.4,Fermented milk
Cheese Cheddar,None,Low,Low,Cold,180,403,25,Orange cheese
Cheese Swiss,None,Low,Low,Cold,180,380,28,Holey cheese
Cheese Brie,None,Low,Low,Cold,30,334,20,Soft cheese
Cheese Feta,None,Low,Low,Cold,30,264,21,Crumbly white
Cheese Goat,None,Low,Low,Cold,30,285,21,Tangy white
Cheese Blue,None,Low,Low,Cold,180,353,21,Veined cheese
Cheese Mozzarella,None,Low,Low,Cold,14,280,28,Mild fresh
Cheese Parmesan,None,Low,Low,Cold,365,431,38,Hard cheese
Cheese Asiago,None,Low,Low,Cold,180,401,30,Italian cheese
Cheese Oaxaca,None,Low,Low,Cold,7,322,25,String cheese
Butter Salted,None,Low,High,Cold,180,717,0.9,Dairy fat
Butter Unsalted,None,Low,Low,Cold,180,717,0.9,Plain butter
Ghee Clarified,None,Low,Low,Cold,365,882,0,Clear fat
Cream Heavy,None,Low,Low,Cold,14,340,2.2,Rich dairy
Cream Sour,None,Low,Low,Cold,14,198,3.7,Tangy cream
Cream Whipped,None,Low,Low,Cold,7,383,2.2,Aerated cream
Egg Whole,None,Low,Low,Cold,30,155,13,Complete nutrient
Egg White,Heart Disease,Low,Low,Cold,30,52,11,Protein only
Egg Yolk,None,Low,Low,Cold,30,322,16,Yellow nutrient
Egg Quail,None,Low,Low,Cold,30,158,13,Tiny egg
Egg Duck,None,Low,Low,Cold,30,185,13,Large egg
Oil Olive Extra,None,Low,Low,Cold,730,884,0,Premium oil
Oil Olive Virgin,None,Low,Low,Cold,730,884,0,Cold pressed
Oil Olive Refined,None,Low,Low,Cold,730,884,0,Processed oil
Oil Coconut,None,Low,Low,Cold,730,892,0,Tropical oil
Oil Avocado,None,Low,Low,Cold,730,884,0,Creamy oil
Oil Sesame,None,Low,Low,Cold,365,884,0,Nutty oil
Oil Grapeseed,None,Low,Low,Cold,365,884,0,Light oil
Oil Almond,None,Low,Low,Cold,365,884,0,Sweet oil
Oil Walnut,None,Low,Low,Cold,365,884,0,Toasted oil
Oil Flax,None,Low,Low,Cold,180,884,0,Omega oil
Rice White,Diabetes,Low,Low,Warm,365,130,2.7,Polished rice
Rice Brown,Diabetes,Low,Low,Warm,365,112,2.6,Whole grain
Rice Black,Diabetes,Low,Low,Warm,365,100,5,Wild rice
Rice Jasmine,Diabetes,Low,Low,Warm,365,160,3,Fragrant rice
Rice Basmati,Diabetes,Low,Low,Warm,365,130,2.7,Long grain
Rice Arborio,Diabetes,Low,Low,Warm,365,130,3,Risotto rice
Bread White,Diabetes,Low,Low,Warm,4,265,9,Refined bread
Bread Wheat,Diabetes,Low,Low,Warm,4,270,11,Whole grain
Bread Rye,Diabetes,Low,Low,Warm,4,259,9,Dark bread
Bread Pumpernickel,Diabetes,Low,Low,Warm,5,263,10,Dense dark
Bread Sourdough,Diabetes,Low,Low,Warm,5,270,10,Tangy bread
Bread Multigrain,Diabetes,Low,Low,Warm,4,268,13,Mixed grain
Bread Spelt,Diabetes,Low,Low,Warm,4,246,10,Ancient grain
Pasta Wheat,Diabetes,Low,Low,Warm,365,131,5,Regular pasta
Pasta Whole,Diabetes,Low,Low,Warm,365,120,6.3,Whole grain
Pasta Spelt,Diabetes,Low,Low,Warm,365,155,8,Ancient grain
Pasta Chickpea,Diabetes,Low,Low,Warm,365,270,15,Legume pasta
Pasta Lentil,Diabetes,Low,Low,Warm,365,280,14,Red pasta
Pasta Rice,Diabetes,Low,Low,Warm,365,120,2.8,Gluten free
Pasta Corn,Diabetes,Low,Low,Warm,365,129,2.7,Gluten free
Cereal Oat,Diabetes,Low,Low,Warm,365,389,17,Breakfast grain
Cereal Wheat,Diabetes,Low,Low,Warm,365,363,14,Wheat based
Cereal Corn,Diabetes,Medium,Low,Warm,365,383,9,Corn flakes
Cereal Rice,Diabetes,Low,Low,Warm,365,380,6,Rice based
Cereal Granola,Diabetes,High,Low,Warm,365,471,10,Clusters mix
Flour Wheat,Diabetes,Low,Low,Warm,365,359,10,Grain powder
Flour Almond,None,Low,Low,Cold,365,579,21,Nut flour
Flour Coconut,None,Low,Low,Cold,365,660,9,Tropical flour
Cornmeal,Diabetes,Low,Low,Warm,365,381,8.2,Corn flour
Polenta,Diabetes,Low,Low,Warm,365,104,3,Corn mush
Bran Wheat,Diabetes,Low,Low,Warm,365,346,16,Grain husk
Germ Wheat,Diabetes,Low,Low,Warm,365,432,27,Grain center
Sugar White,Diabetes,High,Low,Cold,730,387,0,Refined sugar
Sugar Brown,Diabetes,High,Low,Cold,730,375,0,Moist sugar
Sugar Coconut,Diabetes,High,Low,Cold,730,375,0,Palm sugar
Honey Raw,Diabetes,High,Low,Cold,730,288,0.3,Natural sweetener
Maple Syrup,Diabetes,High,Low,Cold,730,260,0,Tree syrup
Stevia,Diabetes,Low,Low,Cold,730,0,0,Zero calorie
Monk Fruit,Diabetes,Low,Low,Cold,730,0,0,Natural sugar
Xylitol,Diabetes,Low,Low,Cold,730,240,0,Sugar alcohol
Erythritol,Diabetes,Low,Low,Cold,730,20,0,Sugar alcohol
Sorbitol,Diabetes,Low,Low,Cold,730,240,0,Sugar alcohol
Aspartame,Diabetes,Low,Low,Cold,730,4,0,Artificial
Sucralose,Diabetes,Low,Low,Cold,730,0,0,Artificial
Saccharin,Diabetes,Low,Low,Cold,730,5,0,Artificial
Chocolate Dark,None,High,Low,Cold,365,598,12,Cocoa dessert
Chocolate Milk,None,High,Low,Cold,365,535,8,Sweet chocolate
Chocolate White,None,High,Low,Cold,365,573,1,Cocoa butter
Cocoa Powder,None,Low,Low,Cold,730,230,12,Pure cocoa
Carob Powder,None,Low,Low,Cold,730,295,5.2,Chocolate alt
Coffee Regular,None,Low,Low,Hot,730,0,0.1,Caffeine drink
Coffee Decaf,None,Low,Low,Hot,730,0,0.1,Caffeine free
Tea Green,None,Low,Low,Hot,365,0,0,Antioxidant tea
Tea Black,None,Low,Low,Hot,365,0,0.1,Caffeinated tea
Tea White,None,Low,Low,Hot,365,0,0,Delicate tea
Tea Herbal,None,Low,Low,Hot,365,0,0,Plant tea
Tea Oolong,None,Low,Low,Hot,365,0,0.1,Traditional tea
Tea Matcha,None,Low,Low,Hot,365,30,1.2,Powder tea
Tea Chamomile,None,Low,Low,Hot,365,0,0,Soothing tea
Tea Peppermint,None,Low,Low,Hot,365,0,0,Fresh tea
Tea Ginger,None,Low,Low,Hot,365,0,0,Spicy tea
Tea Turmeric,None,Low,Low,Hot,365,0,0,Golden tea
Wine Red,None,Low,Low,Cold,730,88,0.3,Aged wine
Wine White,None,Low,Low,Cold,730,84,0,Light wine
Wine Rose,None,Low,Low,Cold,730,83,0,Pink wine
Beer Light,None,Low,Low,Cold,365,37,0.4,Low calorie
Beer Dark,None,Low,Low,Cold,365,40,0.5,Heavy beer
Beer Stout,None,Low,Low,Cold,365,41,0.6,Dark beer
Vodka,None,Low,Low,Cold,730,64,0,Clear spirit
Gin,None,Low,Low,Cold,730,69,0,Botanical
Rum Light,None,Low,Low,Cold,730,69,0,Caribbean
Rum Dark,None,Low,Low,Cold,730,73,0,Heavy rum
Tequila,None,Low,Low,Cold,730,66,0,Agave spirit
Whiskey,None,Low,Low,Cold,730,70,0.1,Oak aged
Brandy,None,Low,Low,Cold,730,73,0,Fruit spirit
Sake,None,Low,Low,Cold,730,134,0.5,Rice wine
Vinegar Apple,None,Low,High,Cold,730,18,0,Tart liquid
Vinegar Balsamic,None,Low,Low,Cold,730,88,0,Sweet vinegar
Vinegar Rice,None,Low,Low,Cold,730,21,0.1,Mild vinegar
Vinegar White,None,Low,Low,Cold,730,18,0,Clear vinegar
Vinegar Red Wine,None,Low,Low,Cold,730,19,0,Wine vinegar
Sauce Soy,None,Low,High,Cold,730,68,11,Salty sauce
Sauce Tamari,None,Low,High,Cold,730,70,12,Wheat free soy
Sauce Coconut Aminos,None,Low,Low,Cold,365,45,5.1,Alternative soy
Sauce Hot Sriracha,None,Low,Low,Cold,365,82,3.3,Spicy sauce
Sauce Tabasco,None,Low,Low,Cold,730,110,2,Pepper sauce
Paste Tomato,None,Low,Low,Cold,180,82,3.9,Concentrated
Paste Miso,None,Low,High,Cold,365,183,11,Fermented bean
Paste Tahini,None,Low,Low,Cold,365,595,17,Sesame paste
Sauce Worcestershire,None,Low,High,Cold,730,55,0.9,Savory sauce
Sauce Fish,None,Low,High,Cold,365,115,20,Asian sauce
Sauce Oyster,None,Low,High,Cold,365,40,2,Shellfish sauce
Sauce Hoisin,None,High,High,Cold,365,258,5,Chinese sauce
Sauce Barbecue,Diabetes,High,Low,Cold,180,112,0.9,Sweet sauce
Sauce Ranch,None,Low,High,Cold,180,437,2,Creamy dressing
Seasoning Salt,None,Low,High,Cold,730,0,0,Mineral salt
Seasoning Pepper,None,Low,Low,Cold,730,251,10,Black pepper
Seasoning Garlic,None,Low,Low,Cold,730,331,17,Powder
Seasoning Onion,None,Low,Low,Cold,730,285,10,Powder
Seasoning Paprika,None,Low,Low,Cold,730,282,13,Red spice
Seasoning Cumin,None,Low,Low,Cold,730,375,18,Brown spice
Seasoning Cinnamon,None,Low,Low,Cold,730,247,3.9,Sweet spice
Seasoning Nutmeg,None,Low,Low,Cold,730,525,5.8,Warm spice
Seasoning Coriander,None,Low,Low,Cold,730,298,12,Seed spice
Seasoning Chili,None,Low,Low,Cold,730,240,12,Hot spice
Seasoning Oregano,None,Low,Low,Cold,730,338,11,Herb
Seasoning Basil,None,Low,Low,Cold,730,295,3.2,Fresh herb
